api,sh_lat,sh_lon,county,well_name,well_number,operator,well_symbol,well_status,well_type
3507320342,36.0348821,-97.9821932,KINGFISHER,MURPHY 18-1,18-1,LAUREL OPERATING COMPANY,OIL-P & A,P & A,OIL
3507320331,35.9983045,-97.8386418,KINGFISHER,JEROME FUSTON 1,1,EIGHT ROUND CORPORATION,OIL-P & A,P & A,OIL
3507320315,36.039903,-97.8415948,KINGFISHER,LULA 1,1,BEARD OIL CO.,OIL-P & A,P & A,OIL
3507323151,35.7285599,-97.7422297,KINGFISHER,TREECE 1,1,HERREN OIL & GAS INC,OIL-P & A,P & A,OIL
3507323135,36.150576,-98.0623591,KINGFISHER,ROY CHOATE 2,2,CROWN CENTRAL,OIL-P & A,P & A,OIL
3507323090,35.756874,-97.9344114,KINGFISHER,RALPH WITTROCK 1,1,OKLAHOMA EQUIPMENT & SALVAGE,OIL-P & A,P & A,OIL
3507323049,35.8080092,-97.8631827,KINGFISHER,TRINDLE /A/ 1,1,MACKELLAR INC,OIL-P & A,P & A,OIL
3507323047,35.9075687,-98.1187398,KINGFISHER,PARHAM B 1-36,1-36,BRISTOL RESOURCES CORP.,OIL-P & A,P & A,OIL
3507322993,35.9075846,-98.0033632,KINGFISHER,JODY 36-1,36-1,PETROMARK EXPL,OIL-P & A,P & A,OIL
3507322984,35.8938172,-98.0942633,KINGFISHER,ROTHER 1,1,BRISTOL RESOURCES CORP.,OIL-P & A,P & A,OIL
3507321317,35.8947335,-97.9620867,KINGFISHER,JOLEE /5/ 1,1,RODMAN CORP THE,DRY HOLE-P & A,P & A,DRY HOLE
3507321293,36.1537304,-98.2041341,KINGFISHER,MCGINNIS 6-5,6-5,HARPER OIL COMPANY,OIL-P & A,P & A,OIL
3507321288,36.1367057,-98.1766213,KINGFISHER,RIVERSIDE /8/ 1,1,CONTINENTAL RESOURCES,OIL-P & A,P & A,OIL
3507321283,36.1465016,-98.1955658,KINGFISHER,MCGINNIS 6-4,6-4,MIDCON CENTRAL EXPL CO,OIL-P & A,P & A,OIL
3507321282,36.1574687,-98.2097342,KINGFISHER,U.S.A. 6-4 1,1,SENSOR OIL & GAS INC.,DRY HOLE-P & A,P & A,DRY HOLE
3507321281,36.1572743,-98.1419674,KINGFISHER,CARL /3/ 1,1,RODMAN CORP THE,OIL-P & A,P & A,OIL
3507321275,36.1076768,-97.9863138,KINGFISHER,HARRIS 1,1,CONOCOPHILLIPS,OIL-P & A,P & A,OIL
3507300202,35.880091,-97.7126599,KINGFISHER,SARAH LOVE 1,1,BRITISH-AMERICAN OIL PROD,OIL-P & A,P & A,OIL
3507300177,35.9044274,-97.8194975,KINGFISHER,LANKARD 1,1,J E TRIGG ET AL,DRY HOLE-P & A,P & A,DRY HOLE
3507300170,35.7603244,-97.7080345,KINGFISHER,CASS WRIGHT 1,1,OTC-OCC NO ASSIGNED,DRY HOLE-P & A,P & A,DRY HOLE
