api,sh_lat,sh_lon,county,well_name,well_number,operator,well_symbol,well_status,well_type
3507300091,36.099557,-97.81586,KINGFISHER,CORRIE,#1,TULSA ENERGY PARTNERS LLC,OIL,AC,OIL
3507300092,36.1140826,-97.9540024,KINGFISHER,REISWIG,#1,CABEEN EXPLORATION CORP,PLUGGED,PA,DRY
3507300093,36.07783,-97.8693365,KINGFISHER,HARRY GRIMES,#1,CONOCO INC,PLUGGED,PA,OIL
3507300094,36.0777708,-97.7757423,KINGFISHER,ANDERSON,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,OIL
3507300095,36.0849805,-97.7311587,KINGFISHER,ALBERT E SIMUNEK,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,OIL
3507300096,36.1249395,-97.806931,KINGFISHER,GABRIEL,#1,JONES & PELLOW OIL CO,PLUGGED,PA,OIL
3507300097,36.154151,-97.780366,KINGFISHER,PACULA,#1,BLAKE PRODUCTION COMPANY INC,OIL,TM,OIL
3507300098,36.1176872,-97.8158683,KINGFISHER,PACULA,#2,CONOCO INC,PLUGGED,PA,INJ
3507300099,35.9363778,-98.0074546,KINGFISHER,STORM UNIT,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
3507300100,35.9110384,-97.8693022,KINGFISHER,BOWMAN,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,OIL
3507300102,36.005313,-97.92724,KINGFISHER,MERRITT,#1,CANVAS ENERGY LLC,OIL,AC,OIL
3507300103,35.9980605,-97.9361604,KINGFISHER,BARR,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,INJ
3507300104,36.0669463,-97.9495309,KINGFISHER,HENNESEY UNIT\WALTER STRIBEL 1,#61,OTC/OCC NOT ASSIGNED,PLUGGED,PA,OIL
3507300105,36.0451969,-97.9406331,KINGFISHER,R M DEWEESE,#1,EXXON MOBIL CORPORATION,PLUGGED,PA,OIL
3507300106,36.026966,-97.74008,KINGFISHER,C W OHERN-A,#1,JERRY SANNER OIL PROPERTIES INC,OIL,AC,OIL
3507300107,36.0559198,-97.7044357,KINGFISHER,SEDLAK-A,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,OIL
3507300108,36.0595993,-97.7356237,KINGFISHER,WHEELER,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,OIL
3507300109,36.002477,-97.94062,KINGFISHER,DOVER   UNIT    (THARP 2),#86,CANVAS ENERGY LLC,OIL,AC,OIL
3507300110,36.060414,-97.878813,KINGFISHER,E.HENNESSEY UNIT(BERKENBILE 2),#206,BCE-MACH III LLC,OIL,AC,OIL
3507300111,35.994756,-97.718128,KINGFISHER,FANNIE MCCANDLESS,#1,THAMS OPERATING COMPANY LLC,PLUGGED,PA,OIL
3507300112,36.0694535,-98.1289033,KINGFISHER,RIVER UNIT,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,OIL
3507300113,36.0343196,-97.8648641,KINGFISHER,BLANCHE CLEMENTS,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,OIL
3507300114,36.002204,-97.717912,KINGFISHER,L.N.U.(WILLIAMS 1),#10-1,BCE-MACH III LLC,OIL,AC,OIL
3507300115,36.0522943,-97.6999711,KINGFISHER,JOE SEDLAK,#1,MID-CON CENTRAL EXPL CO,PLUGGED,PA,OIL
3507300117,36.0378186,-97.7177956,KINGFISHER,INEZ JONES,#15-1,CHESAPEAKE OPERATING LLC,PLUGGED,PA,OIL
3507300118,36.026913,-97.6999687,KINGFISHER,T E OLTMANNS,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,OIL
3507300119,36.0160625,-97.7267202,KINGFISHER,MARY BAXTER,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,OIL
3507300120,35.9940572,-98.2035447,KINGFISHER,JACOB BETZ,#1,AMAX OIL & GAS INC,PLUGGED,PA,GAS
3507300121,35.9871832,-97.9316991,KINGFISHER,R L BARR,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
3507300122,36.1104634,-97.9361768,KINGFISHER,PAUL W MURRAY,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,OIL
3507300123,36.0893811,-97.8606591,KINGFISHER,EAST HENNESSEY UNIT  (MARSHALL 1),#168,BCE-MACH III LLC,UIC,AC,2RIn
3507300124,36.107307,-97.82922,KINGFISHER,E.HENNESSEY UT(PRAZAK#1),#138,BCE-MACH III LLC,OIL,AC,OIL
3507300125,36.146582,-97.771249,KINGFISHER,"VAVERKA  ""B""",#1,BLAKE PRODUCTION COMPANY INC,OIL,AC,OIL
3507300126,36.1357427,-97.7400993,KINGFISHER,FRIEND,#1,SENECA OIL COMPANY,PLUGGED,PA,OIL
3507300127,36.1430169,-97.7579249,KINGFISHER,CROSSWHITE,#1,STONE OIL COMPANY THE,PLUGGED,PA,OIL
3507300128,36.1538464,-97.726746,KINGFISHER,HEIDEBRINK,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,GAS
3507300129,36.078555,-97.856659,KINGFISHER,E.HENNESSEY UT.(PERRY#2),#188,BCE-MACH III LLC,OIL,AC,OIL
3507300130,36.143101,-97.8737651,KINGFISHER,PATOCKA,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,OIL
3507300131,36.0995857,-97.8648723,KINGFISHER,STRECK,#1,JONES & PELLOW OIL CO,PLUGGED,PA,OIL
3507300132,36.10011111,-97.84716667,KINGFISHER,MARSHALL,#1,HINKLE OIL AND GAS INC,PLUGGED,PA,OIL
3507300133,36.0778243,-97.9450659,KINGFISHER,A C HIXON,#1,FRENCH JR L R,PLUGGED,PA,NT
3507300134,36.151517,-97.914414,KINGFISHER,BROWN-HAJEK,#1,GILLILAND OIL AND GAS INC,OIL,AC,OIL
3507300135,36.081413,-97.79803,KINGFISHER,IVEN,#1,LCB RESOURCES LLC,PLUGGED,PA,OIL
3507300136,36.074077,-97.72673,KINGFISHER,STRINGER,#1,WILDWOOD OPERATING LLC,OIL,AC,OIL
3507300137,36.0995265,-97.7668103,KINGFISHER,J M VAVERKA,#1,VIERSEN & COCHRAN,PLUGGED,PA,OIL
3507300138,36.1140936,-97.9138834,KINGFISHER,MITCHELL ?HENNESSEY UNIT 1?,#1,FALCON SEABOARD INC,PLUGGED,PA,OIL
3507300139,36.1067107,-97.7178017,KINGFISHER,HEDGECOCK,#1,OKLAHOMA RIG & SALVAGE INC,PLUGGED,PA,GAS
3507300140,36.0850821,-97.9361727,KINGFISHER,EMMA MATOUSEK,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,INJ
3507300141,36.1429691,-98.0787857,KINGFISHER,DITTMARS,#1,JONES & PELLOW OIL CO,PLUGGED,PA,OIL
3507300142,36.088523,-97.6821492,KINGFISHER,NEWBOLD,#1,ADOBE OIL & GAS CORPORATION,PLUGGED,PA,NT
3507300143,36.0740491,-97.7089059,KINGFISHER,AMANDA POLLARD,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
3507300144,36.1031093,-97.744563,KINGFISHER,BROWN,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
3507300145,36.1103366,-97.7133339,KINGFISHER,INEZ LEE,#1,TENNECO OIL COMPANY,PLUGGED,PA,GAS
3507300147,36.1167066,-97.7434487,KINGFISHER,SCHOOL LAND,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
3507300148,36.1148929,-97.74568,KINGFISHER,H BRADY,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
3507300149,35.9336406,-98.0308528,KINGFISHER,PIERCE,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
3507300150,35.9643661,-98.0954719,KINGFISHER,CHALKER,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
